Instrument,SessionContext,TotalBars,Transition,Count
ES,ETH,1300,Degrading->Degrading,94
ES,ETH,1300,Unresolved->Balance,59
ES,ETH,1300,Balance->Balance,48
ES,ETH,1300,Balance->Unresolved,59
ES,ETH,1300,Degrading->Directional,8
ES,ETH,1300,Balance->Degrading,16
ES,ETH,1300,Degrading->Balance,15
ES,ETH,1300,Directional->Balance,1
ES,ETH,1350,Unknown->Unknown,4
ES,ETH,1350,Unknown->Unresolved,1
ES,ETH,1350,Unresolved->Unresolved,799
ES,ETH,1350,Unresolved->Directional,26
ES,ETH,1350,Directional->Directional,47
ES,ETH,1350,Directional->Unresolved,7
ES,ETH,1350,Unresolved->Degrading,58
ES,ETH,1350,Degrading->Unresolved,76
ES,ETH,1350,Directional->Degrading,26
ES,ETH,1350,Degrading->Degrading,94
ES,ETH,1350,Unresolved->Balance,61
ES,ETH,1350,Balance->Balance,48
ES,ETH,1350,Balance->Unresolved,61
ES,ETH,1350,Degrading->Directional,8
ES,ETH,1350,Balance->Degrading,16
ES,ETH,1350,Degrading->Balance,16
ES,ETH,1350,Directional->Balance,1
