Instrument,SessionContext,TotalBars,Prefix,Quadruplet,Count,ConditionalProbability
ES,RTH,300,Unresolved->Degrading->Directional,Unresolved->Degrading->Directional->Degrading,1,100.00
ES,RTH,300,Degrading->Directional->Degrading,Degrading->Directional->Degrading->Unresolved,1,100.00
ES,RTH,300,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Degrading,1,25.00
ES,RTH,300,Degrading->Unresolved->Degrading,Degrading->Unresolved->Degrading->Unresolved,2,66.67
ES,RTH,300,Unresolved->Degrading->Unresolved,Unresolved->Degrading->Unresolved->Unresolved,4,80.00
ES,RTH,300,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Balance,7,4.17
ES,RTH,300,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Directional,1,25.00
ES,RTH,300,Degrading->Unresolved->Directional,Degrading->Unresolved->Directional->Directional,1,100.00
ES,RTH,300,Directional->Directional->Degrading,Directional->Directional->Degrading->Degrading,1,25.00
ES,RTH,300,Directional->Degrading->Degrading,Directional->Degrading->Degrading->Degrading,1,100.00
ES,RTH,300,Degrading->Degrading->Degrading,Degrading->Degrading->Degrading->Degrading,6,66.67
ES,RTH,300,Degrading->Degrading->Degrading,Degrading->Degrading->Degrading->Unresolved,2,22.22
ES,RTH,300,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Balance,1,25.00
ES,RTH,300,Degrading->Unresolved->Balance,Degrading->Unresolved->Balance->Unresolved,1,100.00
ES,RTH,300,Unresolved->Balance->Unresolved,Unresolved->Balance->Unresolved->Balance,2,25.00
ES,RTH,300,Balance->Unresolved->Balance,Balance->Unresolved->Balance->Unresolved,1,33.33
ES,RTH,300,Unresolved->Unresolved->Balance,Unresolved->Unresolved->Balance->Balance,3,33.33
ES,RTH,300,Unresolved->Balance->Balance,Unresolved->Balance->Balance->Unresolved,4,80.00
ES,RTH,300,Balance->Balance->Unresolved,Balance->Balance->Unresolved->Degrading,1,25.00
ES,RTH,300,Balance->Unresolved->Degrading,Balance->Unresolved->Degrading->Degrading,1,100.00
ES,RTH,300,Unresolved->Degrading->Degrading,Unresolved->Degrading->Degrading->Degrading,2,66.67
ES,RTH,300,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Degrading,1,25.00
ES,RTH,300,Unresolved->Unresolved->Degrading,Unresolved->Unresolved->Degrading->Degrading,1,20.00
ES,RTH,300,Unresolved->Degrading->Degrading,Unresolved->Degrading->Degrading->Unresolved,1,33.33
ES,RTH,300,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Degrading,2,22.22
ES,RTH,300,Unresolved->Unresolved->Degrading,Unresolved->Unresolved->Degrading->Unresolved,3,60.00
ES,RTH,300,Balance->Balance->Unresolved,Balance->Balance->Unresolved->Unresolved,3,75.00
ES,RTH,300,Balance->Unresolved->Unresolved,Balance->Unresolved->Unresolved->Balance,1,11.11
ES,RTH,300,Balance->Unresolved->Balance,Balance->Unresolved->Balance->Balance,2,66.67
ES,RTH,300,Unresolved->Degrading->Unresolved,Unresolved->Degrading->Unresolved->Degrading,1,20.00
ES,RTH,300,Degrading->Unresolved->Degrading,Degrading->Unresolved->Degrading->Degrading,1,33.33
ES,RTH,300,Degrading->Degrading->Degrading,Degrading->Degrading->Degrading->Balance,1,11.11
ES,RTH,300,Degrading->Degrading->Balance,Degrading->Degrading->Balance->Unresolved,1,100.00
ES,RTH,300,Degrading->Balance->Unresolved,Degrading->Balance->Unresolved->Balance,1,100.00
ES,RTH,300,Unresolved->Balance->Balance,Unresolved->Balance->Balance->Balance,1,20.00
ES,RTH,300,Balance->Balance->Balance,Balance->Balance->Balance->Balance,2,66.67
ES,RTH,300,Balance->Balance->Balance,Balance->Balance->Balance->Degrading,1,33.33
ES,RTH,300,Balance->Balance->Degrading,Balance->Balance->Degrading->Balance,1,100.00
ES,RTH,300,Balance->Degrading->Balance,Balance->Degrading->Balance->Degrading,1,100.00
ES,RTH,300,Degrading->Balance->Degrading,Degrading->Balance->Degrading->Unresolved,1,50.00
ES,RTH,300,Balance->Degrading->Unresolved,Balance->Degrading->Unresolved->Unresolved,1,100.00
ES,RTH,350,Unknown->Unknown->Unknown,Unknown->Unknown->Unknown->Unresolved,2,100.00
ES,RTH,350,Unknown->Unknown->Unresolved,Unknown->Unknown->Unresolved->Unresolved,2,100.00
ES,RTH,350,Unknown->Unresolved->Unresolved,Unknown->Unresolved->Unresolved->Unresolved,2,100.00
ES,RTH,350,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,169,90.37
