Instrument,SessionContext,TotalBars,Bucket,FromState,Transition,Count,ProbabilityPct
ES,RTH,250,0.20-0.40,Unresolved,Unresolved->Degrading,4,57.14
ES,RTH,250,0.20-0.40,Degrading,Degrading->Directional,1,20.00
ES,RTH,250,0.00-0.20,Degrading,Degrading->Unresolved,2,100.00
ES,RTH,250,0.00-0.20,Unresolved,Unresolved->Directional,1,8.33
ES,RTH,250,0.80-1.00,Unresolved,Unresolved->Directional,1,100.00
ES,RTH,250,0.80-1.00,Directional,Directional->Degrading,1,100.00
ES,RTH,250,0.20-0.40,Unresolved,Unresolved->Balance,1,14.29
ES,RTH,250,0.20-0.40,Balance,Balance->Unresolved,2,66.67
ES,RTH,250,0.00-0.20,Unresolved,Unresolved->Degrading,2,16.67
ES,RTH,300,0.40-0.60,Unknown,Unknown->Unresolved,2,100.00
ES,RTH,300,0.60-0.80,Unresolved,Unresolved->Unknown,1,100.00
ES,RTH,300,0.40-0.60,Unresolved,Unresolved->Directional,1,100.00
ES,RTH,300,0.40-0.60,Directional,Directional->Degrading,1,100.00
ES,RTH,300,0.20-0.40,Degrading,Degrading->Unresolved,4,66.67
ES,RTH,300,0.20-0.40,Unresolved,Unresolved->Directional,2,20.00
ES,RTH,300,0.60-0.80,Directional,Directional->Degrading,4,100.00
ES,RTH,300,0.40-0.60,Degrading,Degrading->Balance,2,22.22
ES,RTH,300,0.20-0.40,Balance,Balance->Degrading,3,50.00
ES,RTH,300,0.40-0.60,Degrading,Degrading->Unresolved,7,77.78
ES,RTH,300,0.60-0.80,Degrading,Degrading->Unresolved,1,100.00
ES,RTH,300,0.00-0.20,Unresolved,Unresolved->Balance,11,73.33
ES,RTH,300,0.00-0.20,Balance,Balance->Unresolved,10,100.00
ES,RTH,300,0.20-0.40,Unresolved,Unresolved->Degrading,6,60.00
ES,RTH,300,0.20-0.40,Degrading,Degrading->Directional,1,16.67
ES,RTH,300,0.00-0.20,Degrading,Degrading->Unresolved,2,100.00
ES,RTH,300,0.00-0.20,Unresolved,Unresolved->Directional,1,6.67
ES,RTH,300,0.80-1.00,Unresolved,Unresolved->Directional,1,100.00
ES,RTH,300,0.80-1.00,Directional,Directional->Degrading,1,100.00
ES,RTH,300,0.20-0.40,Unresolved,Unresolved->Balance,2,20.00
ES,RTH,300,0.20-0.40,Balance,Balance->Unresolved,3,50.00
ES,RTH,300,0.00-0.20,Unresolved,Unresolved->Degrading,3,20.00
ES,RTH,300,0.20-0.40,Degrading,Degrading->Balance,1,16.67
ES,RTH,350,0.40-0.60,Unknown,Unknown->Unresolved,2,100.00
ES,RTH,350,0.60-0.80,Unresolved,Unresolved->Unknown,1,100.00
ES,RTH,350,0.40-0.60,Unresolved,Unresolved->Directional,2,100.00
ES,RTH,350,0.40-0.60,Directional,Directional->Degrading,2,66.67
ES,RTH,350,0.20-0.40,Degrading,Degrading->Unresolved,4,66.67
ES,RTH,350,0.20-0.40,Unresolved,Unresolved->Directional,3,27.27
ES,RTH,350,0.60-0.80,Directional,Directional->Degrading,5,100.00
ES,RTH,350,0.40-0.60,Degrading,Degrading->Balance,2,20.00
ES,RTH,350,0.20-0.40,Balance,Balance->Degrading,3,50.00
ES,RTH,350,0.40-0.60,Degrading,Degrading->Unresolved,8,80.00
ES,RTH,350,0.60-0.80,Degrading,Degrading->Unresolved,1,50.00
ES,RTH,350,0.00-0.20,Unresolved,Unresolved->Balance,13,72.22
ES,RTH,350,0.00-0.20,Balance,Balance->Unresolved,12,100.00
ES,RTH,350,0.20-0.40,Unresolved,Unresolved->Degrading,6,54.55
ES,RTH,350,0.20-0.40,Degrading,Degrading->Directional,1,16.67
ES,RTH,350,0.00-0.20,Degrading,Degrading->Unresolved,2,66.67
ES,RTH,350,0.00-0.20,Unresolved,Unresolved->Directional,2,11.11
ES,RTH,350,0.80-1.00,Unresolved,Unresolved->Directional,1,100.00
ES,RTH,350,0.80-1.00,Directional,Directional->Degrading,3,100.00
ES,RTH,350,0.20-0.40,Unresolved,Unresolved->Balance,2,18.18
ES,RTH,350,0.20-0.40,Balance,Balance->Unresolved,3,50.00
ES,RTH,350,0.00-0.20,Unresolved,Unresolved->Degrading,3,16.67
ES,RTH,350,0.20-0.40,Degrading,Degrading->Balance,1,16.67
ES,RTH,350,0.40-0.60,Directional,Directional->Unresolved,1,33.33
ES,RTH,350,0.60-0.80,Degrading,Degrading->Directional,1,50.00
ES,RTH,350,0.80-1.00,Degrading,Degrading->Directional,1,100.00
ES,RTH,350,0.00-0.20,Degrading,Degrading->Balance,1,33.33
ES,RTH,400,0.40-0.60,Unknown,Unknown->Unresolved,2,100.00
ES,RTH,400,0.60-0.80,Unresolved,Unresolved->Unknown,1,100.00
ES,RTH,400,0.40-0.60,Unresolved,Unresolved->Directional,2,50.00
ES,RTH,400,0.40-0.60,Directional,Directional->Degrading,2,66.67
ES,RTH,400,0.20-0.40,Degrading,Degrading->Unresolved,4,66.67
ES,RTH,400,0.20-0.40,Unresolved,Unresolved->Directional,3,25.00
ES,RTH,400,0.60-0.80,Directional,Directional->Degrading,5,100.00
ES,RTH,400,0.40-0.60,Degrading,Degrading->Balance,2,18.18
ES,RTH,400,0.20-0.40,Balance,Balance->Degrading,4,50.00
ES,RTH,400,0.40-0.60,Degrading,Degrading->Unresolved,9,81.82
ES,RTH,400,0.60-0.80,Degrading,Degrading->Unresolved,1,33.33
ES,RTH,400,0.00-0.20,Unresolved,Unresolved->Balance,16,76.19
ES,RTH,400,0.00-0.20,Balance,Balance->Unresolved,16,100.00
ES,RTH,400,0.20-0.40,Unresolved,Unresolved->Degrading,6,50.00
ES,RTH,400,0.20-0.40,Degrading,Degrading->Directional,1,16.67
ES,RTH,400,0.00-0.20,Degrading,Degrading->Unresolved,3,75.00
ES,RTH,400,0.00-0.20,Unresolved,Unresolved->Directional,2,9.52
ES,RTH,400,0.80-1.00,Unresolved,Unresolved->Directional,1,100.00
ES,RTH,400,0.80-1.00,Directional,Directional->Degrading,3,100.00
ES,RTH,400,0.20-0.40,Unresolved,Unresolved->Balance,3,25.00
ES,RTH,400,0.20-0.40,Balance,Balance->Unresolved,4,50.00
ES,RTH,400,0.00-0.20,Unresolved,Unresolved->Degrading,3,14.29
ES,RTH,400,0.20-0.40,Degrading,Degrading->Balance,1,16.67
ES,RTH,400,0.40-0.60,Directional,Directional->Unresolved,1,33.33
ES,RTH,400,0.60-0.80,Degrading,Degrading->Directional,1,33.33
ES,RTH,400,0.80-1.00,Degrading,Degrading->Directional,1,100.00
ES,RTH,400,0.00-0.20,Degrading,Degrading->Balance,1,25.00
ES,RTH,400,0.40-0.60,Unresolved,Unresolved->Degrading,2,50.00
ES,RTH,400,0.60-0.80,Degrading,Degrading->Balance,1,33.33
