Instrument,SessionContext,TotalBars,Transition,Entries,MeanPriorRunLength,MaxPriorRunLength
ES,ETH,600,Balance->Degrading,5,1.20,2
ES,ETH,600,Degrading->Balance,7,3.14,8
ES,ETH,650,Unknown->Unresolved,1,5.00,5
ES,ETH,650,Unresolved->Directional,15,15.93,54
ES,ETH,650,Directional->Unresolved,5,2.60,7
ES,ETH,650,Unresolved->Degrading,27,5.56,39
ES,ETH,650,Degrading->Unresolved,35,2.03,6
ES,ETH,650,Directional->Degrading,15,2.67,8
ES,ETH,650,Unresolved->Balance,20,2.70,9
ES,ETH,650,Balance->Unresolved,22,1.73,7
ES,ETH,650,Degrading->Directional,5,2.00,3
ES,ETH,650,Balance->Degrading,5,1.20,2
ES,ETH,650,Degrading->Balance,7,3.14,8
ES,ETH,700,Unknown->Unresolved,1,5.00,5
ES,ETH,700,Unresolved->Directional,17,14.29,54
ES,ETH,700,Directional->Unresolved,5,2.60,7
ES,ETH,700,Unresolved->Degrading,31,5.26,39
ES,ETH,700,Degrading->Unresolved,40,2.03,6
ES,ETH,700,Directional->Degrading,17,2.59,8
ES,ETH,700,Unresolved->Balance,23,2.96,9
ES,ETH,700,Balance->Unresolved,25,1.64,7
ES,ETH,700,Degrading->Directional,5,2.00,3
ES,ETH,700,Balance->Degrading,6,1.33,2
ES,ETH,700,Degrading->Balance,8,2.88,8
ES,ETH,750,Unknown->Unresolved,1,5.00,5
ES,ETH,750,Unresolved->Directional,17,14.29,54
ES,ETH,750,Directional->Unresolved,5,2.60,7
ES,ETH,750,Unresolved->Degrading,35,5.23,39
ES,ETH,750,Degrading->Unresolved,45,2.00,6
ES,ETH,750,Directional->Degrading,17,2.59,8
ES,ETH,750,Unresolved->Balance,24,3.33,12
ES,ETH,750,Balance->Unresolved,26,1.62,7
ES,ETH,750,Degrading->Directional,5,2.00,3
ES,ETH,750,Balance->Degrading,6,1.33,2
ES,ETH,750,Degrading->Balance,8,2.88,8
ES,ETH,800,Unknown->Unresolved,1,5.00,5
ES,ETH,800,Unresolved->Directional,17,14.29,54
ES,ETH,800,Directional->Unresolved,5,2.60,7
ES,ETH,800,Unresolved->Degrading,35,5.23,39
ES,ETH,800,Degrading->Unresolved,45,2.00,6
ES,ETH,800,Directional->Degrading,17,2.59,8
ES,ETH,800,Unresolved->Balance,25,3.80,15
ES,ETH,800,Balance->Unresolved,27,1.67,7
ES,ETH,800,Degrading->Directional,5,2.00,3
ES,ETH,800,Balance->Degrading,6,1.33,2
ES,ETH,800,Degrading->Balance,8,2.88,8
ES,ETH,850,Unknown->Unresolved,1,5.00,5
ES,ETH,850,Unresolved->Directional,17,14.29,54
ES,ETH,850,Directional->Unresolved,5,2.60,7
ES,ETH,850,Unresolved->Degrading,38,6.26,52
ES,ETH,850,Degrading->Unresolved,48,1.94,6
ES,ETH,850,Directional->Degrading,17,2.59,8
ES,ETH,850,Unresolved->Balance,27,3.89,15
ES,ETH,850,Balance->Unresolved,29,1.62,7
ES,ETH,850,Degrading->Directional,5,2.00,3
ES,ETH,850,Balance->Degrading,8,1.75,5
ES,ETH,850,Degrading->Balance,10,2.70,8
ES,ETH,900,Unknown->Unresolved,1,5.00,5
ES,ETH,900,Unresolved->Directional,18,13.67,54
ES,ETH,900,Directional->Unresolved,5,2.60,7
ES,ETH,900,Unresolved->Degrading,42,6.05,52
ES,ETH,900,Degrading->Unresolved,53,1.91,6
ES,ETH,900,Directional->Degrading,18,2.50,8
ES,ETH,900,Unresolved->Balance,31,4.23,15
ES,ETH,900,Balance->Unresolved,33,1.58,7
ES,ETH,900,Degrading->Directional,5,2.00,3
ES,ETH,900,Balance->Degrading,8,1.75,5
ES,ETH,900,Degrading->Balance,10,2.70,8
ES,ETH,950,Unknown->Unresolved,1,5.00,5
ES,ETH,950,Unresolved->Directional,19,14.05,54
ES,ETH,950,Directional->Unresolved,5,2.60,7
ES,ETH,950,Unresolved->Degrading,47,5.72,52
ES,ETH,950,Degrading->Unresolved,58,1.90,6
ES,ETH,950,Directional->Degrading,18,2.50,8
ES,ETH,950,Unresolved->Balance,32,4.22,15
ES,ETH,950,Balance->Unresolved,34,1.56,7
ES,ETH,950,Degrading->Directional,5,2.00,3
ES,ETH,950,Balance->Degrading,8,1.75,5
ES,ETH,950,Degrading->Balance,10,2.70,8
ES,ETH,1000,Unknown->Unresolved,1,5.00,5
ES,ETH,1000,Unresolved->Directional,19,14.05,54
ES,ETH,1000,Directional->Unresolved,5,2.60,7
